created_at,full_text,username
Thu May 30 08:37:27 +0000 2024,@__anomali__ @Juragann_muda2 @ajegilelu1 @Marnischaniago2 @alfatih212426 @Kappa_2023 @AnakBalang_0705 @hlh_kntl @catz_nada2 @Capuchihome @Gue_Dilawan @TiniRahayu21 @HabanglaliK @JhontalJk @Froyo64 @FruitLover2345 @imamDouma @fmn99_gaming @antikadrunmuna @antikadrunbang @ricardo_bobby @anarchyhumanist @Royedy6 @ridho45916919 @NISAMODESTMOON @KatzNada3 @Atheis_Bergitar @anu318725175311 @Uncle__Holland @Yygrko @abu_hurahura @dimas2_P @Valhallaah @dimas1286478285 @Karsono12732862 @eeh_ito @catznada3 @PekanbaruRyu @Greschinove @katz_bornagain @dy04343703 @Amox1L1N @JokoPintar2 @xyz161803zyx @Momonsimomon @DocteurSilver @FajarUmbara_ @Iderjagadd Tambahin. nipu pinjol. Salah² bunuh orang.,johnhomebapa
Wed May 29 15:09:51 +0000 2024,@__whiteenle Lebih baik urusi pinjol yg banyak makan korban.,Dee06644722
Tue May 28 00:48:36 +0000 2024,@_haye_ demi dana pinjol dpr ian,yoonajah
Wed May 29 04:07:29 +0000 2024,@_honeyou Tapi aku gapernah pinjol wee makasih tipsnya yaa bisa juga di samsung ternyata,uniquelaterrr
Tue May 28 01:48:14 +0000 2024,@_hyeyeonchoi @dstray__ @danawallet @jokowi @kaesangp kenapa nuntut dana.. itu mah dia bloon aja main percaya. masa iya pihak dana nyuruh pinjol? ,cinuamonroll
Thu May 30 12:40:18 +0000 2024,@_Mellifluousx Kek di tele abis GA jadi akun pinjol asu lah,JaehyungieSmile
Thu May 30 11:23:55 +0000 2024,@_Mellifluousx LEBIH PARAH DARI PINJOL WKWKW,JaehyungieSmile
Sun May 26 10:38:38 +0000 2024,@_NeverAlonely Sudah lunas kok ditagih? Delernya yg bermasalah. Alhamdulillah meskipun w orang kecil w ga ada tagihan kredit motor atau pinjol. Insya Allah terus ikhtiar meskipun ada senilai paket data sebulan ga da riba dan orang yg benar dekat. Jadi saat w mati wali waris w mudah urusan nya.,kopiduasendok
Wed May 29 03:21:51 +0000 2024,@_oyemivoz Eh sumpah temennya cowokku juga ada yang begitu! Asal nyantumin nomer orang buat jadi kontak darurat. Pas diconfront terus diup ke twt dia kayak kenapa sih harus dibawa ke twitter segala pinjol ilegal mah gausah dibayar. ,littlekoreanvam
Sun May 26 07:09:34 +0000 2024,@_pohong @filosofikopid @sadili_safiq @kegblgnunfaedh udah menghilang id fb pegi namun tinggal cari pake kata kunci saja pegi setiawan banyak postingan2 yg udah d SS sama netizen,hapuskanpinjol
Mon May 27 12:51:20 +0000 2024,@_quelapis Pengennya on loewe tapi nanti aku malah lari dari dc pinjol :'),angstydork
Thu May 30 13:19:43 +0000 2024,@_sslmaa @virnotpir buat pinjol ya,nolahadid
Tue May 28 05:21:14 +0000 2024,@_tjendana Negara terjerat pinjol warganya terjerat judol hehe,HantuBlimbing_
Mon May 27 15:59:44 +0000 2024,@000deng89 taunya link pinjol WKWKWKWK,awspaw
Thu May 30 15:10:42 +0000 2024,@0xkyouki @andreasrtobing_ Jika kamu malas belajar money management malas belajar manajemen risiko maka memang hanya market yg mampu buat dirimu belajar. Apa yg akan trjdi kl lu pake duit pinjol? Emg ada berubah kl mindsetnya msh salah? Better lu ambil advice dr bang andreas aja. Telen mentah .,EditionJess
Thu May 30 11:52:16 +0000 2024,@2024survivepls Telbay gopay jangan dancil / oren karena rawan luar kondar,Aria_Consultant
Sun May 26 07:40:51 +0000 2024,@404una @Generasiosing @kegblgnunfaedh tinggal nanti d liat saja bisa menyangkal bukti2 yg banyak itu atw tidak klo smua g percaya trus kudu gimana?smntara yg beredar di internet tuduhan2 k org lain smuanya hoax dan d bantah oleh yg bersangkutan klo mau bantah y kasih buktinya jgn pake asumsi hukum tegak g pake asumsi,hapuskanpinjol
Sun May 26 05:52:37 +0000 2024,@4nti_koruptor @tempodotco Kalo biden bisa mutihin kalo dimari takutnya pake DC pinjol,5teV3n_Pe9eL
Sun May 26 15:01:28 +0000 2024,@5teV3n_Pe9eL @tempodotco Pinjaman kan bisa dihandel pinjol mungkin Nadiem punya perusahaan PINJOL,pencerahnkri
Thu May 30 09:57:24 +0000 2024,@5teV3n_Pe9eL Buat apa buat pendataan buat pinjol buat pemerintah?,HSobat37667
Thu May 30 13:14:43 +0000 2024,@5teV3n_Pe9eL Gak khawatir ntar KTPnya dipake buat pinjol?,ray440117152752
Wed May 29 04:55:58 +0000 2024,@5teV3n_Pe9eL Kayak orang kejerat pinjol njir,JoniRebon
Mon May 27 14:05:59 +0000 2024,@5teV3n_Pe9eL Mirip pinjol denda bertingkat...udahlah pinjol nyusahin malah di tambah susah dari apk pemerintah.. Pemer maunya apa sih ,fathullahfathu2
Wed May 29 13:03:48 +0000 2024,@5teV3n_Pe9eL Petani harga tinggi ya g dapet kok d makan tengkulak pinjol pupuk. Mending jd negara konsumen aja brarti ya produksi sendiri tp harga g bisa bagus. Kalau jd negara konsumen pemerintah jd mikir gmn caranya harga miring ya.,kris_satriya
Thu May 30 09:14:24 +0000 2024,@7shotlatte Jadi mau pinjol dong??,tzuachan
Thu May 30 05:22:40 +0000 2024,@aabians0711 @Miduk17 Nah ini pegi setiawan yg telinganya bolong piercing itu egi ripra (egi ryan prayoga). Pegi setiawan ini mukanya mirip mirip sama seseorang yg penting ya.,Aria_Consultant
Tue May 28 13:16:56 +0000 2024,@aaerichannn @thueningckai mangafin ntar ak nyari pinjol dlu iyah,TheDarshanians
Tue May 28 05:35:47 +0000 2024,@abcd_emmy @pppkguru Saya mengalami sendiri (sementara masih paylater) keadaan yang memaksa dan mungkin mudahnya akses pinjol jadi ketergantungan. Tiap bulan gali lobang tutup lubang.,mongosilakan
Tue May 28 13:15:37 +0000 2024,@abcdfakdeh AkuLaku pinjol Al kan pasaran. Bisa Alya ,MoodTheStudent
Sat May 25 16:45:53 +0000 2024,@AbdulRachimmks banyak pioneer pi di Indonesia sebagai bagian dari komunitas di 230 negara lihat starlink akan meratakan jaringan internet sehingga pembayaran melalui barcode akan merata sampai pelosok saat itu rakyat gk perlu pinjol atau pinjaman bank lagi,sahd20720
Thu May 30 09:44:40 +0000 2024,@abu_waras beda org memang dia nama ya pegi tapi beda kota beda ortu udah ada klarifikasi y,hapuskanpinjol
Sun May 26 05:02:03 +0000 2024,@abu_waras Mending jujur pak. Setelah dilantik katakan kpd rakyat bhw keuangan ngara tdk memungkinkan utk program makan sian dan susu gratis. Sebagai gantinya bpk bikin program miskinkan koruptor hentikan IKN gratiskan biaya pndidikan dr SD sampai PT. Basmi pinjol dan judol.,solusipraktis
Mon May 27 03:40:17 +0000 2024,@abu_waras Pinjol aja pak... Kalo anggaran gak ada ,ndablonk_sablon
Mon May 27 03:33:23 +0000 2024,@acaciagouw Oren ga tentu biasanya lambat hubungi kondar,Aria_Consultant
Mon May 27 02:41:50 +0000 2024,@AcaPromos @penjwuaL Akhir bulan? Pusing mikirin tagihan spaylater spinjam kredivo akulaku &amp; tagihan legal lain nya mau japo? Cari joki trusted fee diakhir? Konsul pinjol di @penjwuaL aja dibantu meringankan cus sebelum telat bayar apalagi galbay bestie,itsprettycorin
Sun May 26 12:44:06 +0000 2024,@acicoal yyuu,angelalodies
Thu May 30 16:42:50 +0000 2024,@adakamiofficial Begitu syulit restrukturisasi ke aplikasi ini. Ada orang udh ke kantor yg di kuningan mau minta keringanan udh bawa surat tidak mampu dr kelurahan disuruh ke kantor CS Tangerang pas di ktr CS Tangerang ditolak keringanannya tega bgt sih. Aplikasi lain aja bs restrukturisasi ,bstgirlfriend
Mon May 27 11:18:05 +0000 2024,@adakamiofficial PINJOL GILA ADAKAMI MENTEROR MENGANCAM FISIK KASUS PINJAM 10 JUTA DISURUH BAYAR 20 JUTA LEBIH WAHAI OJK ADAKAMI PINJOL GILA ELU SUAP BIAR RESMI BEGITU JANGAN PERNAH PINJAM PINJOL APAPUN ITU NAMANNYA ADAKAMI MENTEROR MENGANCAM INGAT SEBAR DAT ITU DILARANG OJK ANJING ADAKAMI,cangkemratuadil
Mon May 27 12:04:25 +0000 2024,@adakamiofficial PINJOL ILEGAL DAN ILEGAL CARA CARA YANG DIGUNAKAN ANJING PREMAN,cangkemratuadil
Mon May 27 11:41:06 +0000 2024,@adakamiofficial PINJOL RENTENIR JANGAN PERCAYA PINJOL PAKAI PREMAN DEBT KOLEKTOR INGAT KASUS NASABAH PINJAM 10 JUTA DISURUH BAYAR 20 JUTA SAMA ADAKAMI APAPUN ITU NAMANYA PINJOL RENTENIR BERGAYA PREMAN JALANAN. YANG TERLANJUR HUTANG JANGAN TAKUT DEBT KOLEKTOR LAWAN SAMPAI BERDARAH DARAH,cangkemratuadil
Tue May 28 07:50:25 +0000 2024,@adambrotowijono Ya gpp. UKT mahal kntl. Bayarnya pake pinjol. Akhirnya pulang kuliah ngojol buat bayar pinjol. Jokiskripsi solusinya. Jika belum berhasil masih ada jasa ijazah palsu OEM. Menuju Indonesia gemes 2030.,penggelitik
Tue May 28 09:43:28 +0000 2024,@aditwongs @worksfess Aku takut sendernya pinjol kan lg strugle masalah ongkosnya.,ziiyoe
Wed May 29 18:43:56 +0000 2024,@aegyossaI @tanyakanrl kalo sama ktp kan takut dikira pinjol,kulkasmencair
Sun May 26 09:47:18 +0000 2024,@aerichao Mau buat pinjol yah?,yzounghroon
Tue May 28 09:26:59 +0000 2024,@aerichao real ga pernah coba pinjol kalo lagi khilaf gini bisa minta 1945 shot sih...,jaeminjol
Sun May 26 11:47:17 +0000 2024,@af1_ Aaah kadang mikir.. Apakah ini program pembodohan yang terstruktur dan massive bekerjasama dengan Pinjol di perangkaplah kaum Pribumi dengan masalah baru kompeni ireng di zaman yg katanya sdh Merdeka ,AchooCKR
Wed May 29 09:02:17 +0000 2024,@afyanIFP Tak semestinya kena ambil loan boleh apply biasiswa atau pinjaman tanpa faedah. Kalau betul2 tak mampu ambil degree sekalipun carilah ilmu dengan cara apapun. Contohnya join kelas percuma online atau kuliah2 di masjid. Ilmu tu berguna untuk diri.,aliafiah
Sun May 26 09:52:24 +0000 2024,@ahcegil Khawatir jg apa dia main judol pinjol bisex,Kawachiii53
Mon May 27 04:05:29 +0000 2024,@ahcegil Yang suka foto ak diam diam buat jadiin pinjol,jevdraz
Sun May 26 15:00:04 +0000 2024,@ahyangbenerdan @tanyarlfes mahal kl belinya pake pinjol bang,ahyangbenerrip
Thu May 30 04:55:02 +0000 2024,@Ahyeeonn ak ntar dijadiin pinjol,lovecbliss
Tue May 28 09:34:39 +0000 2024,@ainiadhyna Fasilitas umum gitu-gitu aja biaya sekolah ga ngotak pokoknya kalo kita susah disuruh pinjol tapi kalo pemerintah yang susah tinggal minta sama rakyat jelata ,dinnidi
Wed May 29 06:02:55 +0000 2024,@AinunCaira38972 Kelola memtal dan emosi di masa-masa telbay jangan dikendalikan sama isi teror dari mereka,Aria_Consultant
Sun May 26 23:42:41 +0000 2024,@AirinDatangLagi bentar lagi banyak yg bunuh diri gara gara terlilit pinjol.,DramaBodoh
Tue May 28 09:38:25 +0000 2024,@AirinDatangLagi Maklum kejerat pinjol,Aswar_kusuma
Sat May 25 16:55:59 +0000 2024,@allnewjb ah banyak x dia pinjol rupanyaaaa,ojaniswara
Tue May 28 01:52:18 +0000 2024,@alurpandang Blum tahu itu pinjol apa bkan tp kemungkinan besarnya ya itu hmmmm,bibliolamama
Mon May 27 03:59:47 +0000 2024,@alvinlie21 Berarti pinjol hrs lbh di galakan lg dong.. Dan di buatkan UU ttg pinjol agar punya payung hukum. ,Rudy5a3a1
Sun May 26 12:36:41 +0000 2024,@alvinlie21 Biaya hidup...pake pinjol..... Biaya kuliah pake student loan...... Apa kaga pada mikir hutang itu dibawa mati ....,achmad_kusnanto
Mon May 27 03:11:01 +0000 2024,@alvinlie21 Bisa jadi tuh mentri2 dapat seperan dari pinjol. Mungkin diharpkan juga pajaknya dri pinjol.,hsantoskecho
Mon May 27 19:11:42 +0000 2024,@alvinlie21 Bos pinjol: Gw bantu danain kampanye ya? Semprul: Ok nanti gw bikin usaha lo jalan terus Bos pinjol: Caranya? Semprul: Normalisasi Pinjol Bos Pinjol; Jadi! Transfer kemana nih bos?,ucalkautsar
Tue May 28 03:33:20 +0000 2024,@alvinlie21 Gila...kayakny ada agen pinjol menyusup k3 istana,ndul_cwo
Sun May 26 12:58:15 +0000 2024,@alvinlie21 Hahaa...Pinjol makin gercep nih.,MbemLover
Sun May 26 10:40:01 +0000 2024,@alvinlie21 makin banyak terjebak pinjol,feriakbar18
Sun May 26 13:21:01 +0000 2024,@alvinlie21 Mas ini kacau bener cara pikir mas menteri @nadiemmakarim melegalkan biz pinjol dan paylater artinya menjerumuskan anak muda kelembah utang lha maka hrs dikoreksi menjadi era SDM- Indonesia (Si Loba Utang) Emas 2035 ,sam64241295
Wed May 29 00:31:23 +0000 2024,@alvinlie21 Ngeri banget. Pantes para mahasiswa bersentuhan dg pinjol ...,KangIsk
Sun May 26 12:19:35 +0000 2024,@alvinlie21 sepertinya pinjol ini mmg hrs dipertahankan.....,riz_kh4n
Sun May 26 14:39:05 +0000 2024,@alvinlie21 sudah pada pakai pinjol om alvin kan yg penting universitas dapat uang sks ukt nya full masalah anak didik plus orang tua nya dikejar debt collector masa bodoh https://t.co/vGnj1Q0pXy,BudayaJoejoer
Sun May 26 14:07:20 +0000 2024,@alvinlie21 Utangnya ke pinjol duh Gusti.....,darto1727
Thu May 30 15:50:21 +0000 2024,@amarbankID Pinjol model baru kah?,goldenman339
Thu May 30 03:48:25 +0000 2024,@amelpusink Tergantung wilayah dan total hutangnya ka,Aria_Consultant
Wed May 29 10:38:44 +0000 2024,@ami0dar0ne @BERAXnews @yunajaaa kebalik kak liat aja angka pinjol di sana wkwk,thoriqrahmann
Tue May 28 01:50:21 +0000 2024,@AmmarGill Ini rezim orang-orang baik. Mereka ngeliat warganya susah nabung karena banyak godaan konsumerisme mana ada yg dipake judol pula. Jd drpd udah cape kerja uangnya ilang entah kemana mending disimpenin negara. Plus bisnis pinjol jg makin laku.,gsidharta
Mon May 27 04:38:20 +0000 2024,@Amran_bin_Al @Nagashima_007 Jadi ingat banyak yg ambil jalan pintas bundir akibat dikejar-kejar pinjol.,SaatTobat2
Mon May 27 09:34:19 +0000 2024,@Amrizaldy511 @karlinatitik5 iya itu yg d tangkap skrg,hapuskanpinjol
Tue May 28 04:21:41 +0000 2024,@AMSUNGHOON @selfolconvo bayar pinjol lu itu,snuwooi
Sun May 26 14:02:46 +0000 2024,@AMSUNGHOON Pinjol mulu lu dari kemarin beneran mau ya,snuwooi
Wed May 29 18:05:16 +0000 2024,@anakgawlllll Tapi ada cewek dikantor gue..udah jadi selingkuhan laki orang neh tapi malah biayain tuh laki lakinya ampe ngontrak bareng yang bayar ceweknya ...ampe ngutang pinjol sana sini ettdeh,jewelsmoon
Tue May 28 18:35:54 +0000 2024,@anakmasdulll_ daftarin pinjol biar rame,megilangprtm
Tue May 28 11:48:35 +0000 2024,@anakmasdulll_ ndi nomermu coy tak enggone pinjol,howreutodayy
Wed May 29 06:26:31 +0000 2024,@anamazingbali @ferrykoto Yg nggak kena pinjol aja belum tentu bisa tembus KPR ,carnationforvhe
Wed May 29 11:02:36 +0000 2024,@anarchsmm @toxickillme @adakamiofficial karunya bisi bodo budak di sakolakeun make pinjol,novanteyyy
Sun May 26 05:37:34 +0000 2024,@andibrian87 @kegblgnunfaedh contoh SDM rendah,hapuskanpinjol
Thu May 30 03:20:57 +0000 2024,@andreasrtobing_ Lost 3000$ bang skrng harus mikir lanjut mempertaruhkan duit pinjol apa ga,0xkyouki
Thu May 30 10:22:59 +0000 2024,@AndrewsTjan @buntand Yg chaos nasib rakyatnya lol pejabatnya sih baik...baik sekali apalagi para buzzer cukup nge-tweet asal bunyi jancak jancuk bayaran cair lihat kebawah ada gak orang miskin ada gak yg bunuh diri karena kemiskinan ada gak yg terjerat pinjol semua hoax kan menurut elu..?,ratihbudiarto
Thu May 30 06:07:34 +0000 2024,@AndrewsTjan Kondisi real ya rakya terlilit pinjol dan tiap sore hari di kejar2 oleh bank tutil atau bank plecit.klo soal ukt memang tak begitu dirasakan oleh rakyat karena memang yg kuliah kan dikit.,KhuzaimiEm19733
Thu May 30 08:16:36 +0000 2024,@AndrewsTjan UKT ga terlalu rame? Mahasiswa sampe demo ortu sampe nangis2 sampe pake pinjol sampe ada yang mengundurkan diri. Matamu boroken po?,timpenguinnas
Wed May 29 10:34:46 +0000 2024,@andriekaryadi Aku juga mikir yg sama. Bodoh tapi kok duitnya berlimpah Eh tapi ada juga yg pinjol sih demi ,NonaMaya222
Wed May 29 02:54:30 +0000 2024,@angela_pangestu Halo Kak jika mengalami permasalahan dengan pinjol ilegal yang disertai penyebaran data pribadi dan intimidasi segera laporkan ke Kantor Polisi terdekat untuk diproses hukum. Dapat dilaporkan juga ke email waspadainvestasi@ojk.go.id.,ojkindonesia
Thu May 30 10:06:04 +0000 2024,@angewwie tebak bau dan tunggakan pinjol yg komen,Mfthrrzkk
Sun May 26 12:47:56 +0000 2024,@anggardaaprmt Bayangin cowok capek cari uang dipaksa pinjol sama ceweknya. Nomor rekan kerja di pakai buat kontak darurat si cewek dengan enteng ke orang lain kalau rekan kerjanya yg ngajarin pinjol. Giliran kena tegur sama atasan si cewek gak terima alhasil apa si cowok kena tegur... cnt,fahim_dwi
Mon May 27 16:16:10 +0000 2024,@angstora Sebaiknya jangan gegabah kk ayo ganti nomor biar ga diteror pinjol.,vaigorous
Sun May 26 14:23:51 +0000 2024,@anomalibocil big no‼️ umur aku masih underage dan haram pinjol pinjol nanti terjerat beneran kamu bakalan susah hidup. ,smeoah
Wed May 29 22:18:43 +0000 2024,@anonjawa Maunya ya cuma menghina orang-orang yang mereka anggap intelek dan pintar . Kapan lagi mereka merasa superior dan menang selain di ajanh Pilpres ini. Abis Pilpres sekarang para Stupid Majority diem lagi pusing mikirin Pinjol mereka,GeowanaPurmana
Tue May 28 13:20:45 +0000 2024,@antareja36961 @tanyakanrl Yang penting gk suka judol pinjol gak pp kan? Jadi suka cwe doyan ngambek apa doyan slot sma ngutang?,pawangBUAYAair
Wed May 29 11:50:20 +0000 2024,@AntarticaSnowWW Di dalam sebuah wakanda ada budaya ngutang maka menjamur budaya Pinjol,SMujsin
Tue May 28 14:09:00 +0000 2024,@anyakawaiikiyo Orang mah sebelom lebaran tuh sekalian ninggalin hampers juga kek. Ini cuma nomor telepon ,SamaPinjol
Thu May 30 00:05:46 +0000 2024,@AOknum si persib disponsoran aplikasi pinjol ge geus aneh bit. Suka teu suka emang suporter siga nu dijadikeun target konsumen. Ulah berharap dapat cinta yang terbalaskan. suporter mah ditakdirkeun mirip2 jelema ker bucin. Tong make logika ,bennynovario
Wed May 29 14:39:06 +0000 2024,@applepiecochoo ini mah sekalian buat pinjol,titisansynyster
Tue May 28 07:52:16 +0000 2024,@apralzolam Takutnya dari pinjol kan ya,PostMortemMD
Mon May 27 16:00:12 +0000 2024,@apreciusm ⠀ Gampang kita tinggal pinjol lagi. ⠀,angstora
Mon May 27 15:50:02 +0000 2024,@apreciusm Uangku ada 80G nyaris pake pinjol. ,vaigorous
Sun May 26 05:17:55 +0000 2024,@apriwulandr Pinjol juga nabung cuma cair nya duluan aja. Wkwk,DNSGRI
Tue May 28 00:46:36 +0000 2024,@AraituLaki Hidup pinjol,agomala
Thu May 30 09:09:39 +0000 2024,@ardi_tama1 @b3b3t_ ada pinjol UKT yg harus dilunasin,mediocrickey
Tue May 28 11:33:42 +0000 2024,@ardisatriawan Setelah 25 kayak ga ada lapangan pekerjaan. Yups disuruh buka bisnis adalah kuncinya. Makin stres lagi berbisnis. Banyak pilihan sumber dana: dari hasil kerja (kalau pernah magang/kerja) warisan pinjol judol (klo gacor) pinjaman bank pegadaian,frustous
Mon May 27 04:00:30 +0000 2024,@AREAJULID Bahkan nomor gue jadi kontak darurat pinjol tmn... Siang2 lagi enak2 tidur di tlpn buat ingetin tuh org suruh bayar,gunawan21AS
Sun May 26 09:02:19 +0000 2024,@arfibambani @ubegebe1 Kurang kerjaan mempersoalkan hil hil yg tidak guna dipersuilkan. Noh persoalkan UKT naik 500% UKT Pinjol perampasan tanah rakyat oleh rezim dan byk kezaliman rezim lainnya. Jangan persoalkan bunga bunga sentimen etnik.,come_punk_k03
Mon May 27 14:04:01 +0000 2024,@arieparikesit resiko gagal bayar jadi vendor BUMN atau K/L sama tingginya dgn resiko gagal bayar pinjol ,papanyaarin
Tue May 28 04:29:18 +0000 2024,@arifin34533 - cicilan rumah - cicilan motor - pinjol - kartu kredit ,narkosun
Thu May 30 02:00:48 +0000 2024,@arifin34533 Oh itu nanti urusan pemerintahan2 berikutnya.. yg penting rejim sekarang dapat duit dulu. Mohon maklum kalau ga ada duit pemerintah ga bisa pinjol. Bisanya pinjam paksa duit rakyat yg entah kapan kembalikannya (dan ga peduli juga toh bukan rejim ini yg bayar),AkipFirmanshah
Sun May 26 05:16:01 +0000 2024,@ariyadifebri 2x libur panjang pengeluaran ekstra buat plesiran. Bisa jadi buat bahan campaign: 1. Financial planner &amp; advisor 2. Insurance 3. Digital banking (e-saving) 4. Crypto market 5. Pinjol,bro_bryant
Sun May 26 07:49:44 +0000 2024,@AroeltheSinner @danawallet saya semalem suruh masukin kode otp abis itu uang saya raib 200k. terus saya juga ditipu pake pinjol jg katanya saldo saya bakal balik taunya malah makin rungkad banyak ‍️,guerraescobaree
Wed May 29 06:26:12 +0000 2024,@ARSIPAJA Alhamdulillah naik semuamudah2an begal berkurang yang pinjol berkurang yang bundir berkurang demo pun gak guna kan rakyat sepakat memilih keberlanjutan kalau maksa demo di halau helikopter,BomBa4574865945
